Item,Location,Min Quantity,Max Quantity,no of unit per box,threshould
101011000391,Riyadh,341.00 ,413.00 ,1,50
101011000392,Jeddah,362.00 ,478.00 ,1,50
101011000392,Riyadh,720.00 ,905.00 ,1,50
101011000393,Jeddah,147.00 ,187.00 ,1,50
101011000393,Riyadh,158.00 ,192.00 ,1,50
101011000395,Jeddah,26.00 ,35.00 ,1,50
101011000395,Riyadh,52.00 ,65.00 ,1,50
101011000404,Jeddah,163.00 ,198.00 ,1,50
101011000404,Riyadh,678.00 ,803.00 ,1,50
101011000406,Jeddah,66.00 ,87.00 ,1,50
101011000406,Riyadh,268.00 ,340.00 ,1,50
101011000407,Jeddah,27.00 ,34.00 ,1,50
101011000407,Riyadh,28.00 ,34.00 ,1,50
101011000408,Jeddah,30.00 ,39.00 ,1,50
101011000408,Riyadh,140.00 ,167.00 ,1,50
101011000409,Jeddah,256.00 ,370.00 ,1,50
101011000409,Riyadh,"1,462.00 ","1,799.00 ",1,50
101011000411,Jeddah,77.00 ,109.00 ,1,50
101011000411,Riyadh,182.00 ,236.00 ,1,50
101011000412,Jeddah,18.00 ,26.00 ,1,50
101011000413,Jeddah,37.00 ,49.00 ,1,50
101011000413,Riyadh,80.00 ,100.00 ,1,50
101011000414,Jeddah,44.00 ,65.00 ,1,50
101011000414,Riyadh,207.00 ,260.00 ,1,50
101011000415,Jeddah,65.00 ,80.00 ,1,50
101011000415,Riyadh,138.00 ,168.00 ,1,50
101011000416,Jeddah,35.00 ,47.00 ,1,50
101011000416,Riyadh,187.00 ,237.00 ,1,50
101011000418,Jeddah,119.00 ,156.00 ,1,50
101011000418,Riyadh,269.00 ,337.00 ,1,50
101011000419,Jeddah,25.00 ,34.00 ,1,50
101011000419,Riyadh,69.00 ,82.00 ,1,50
101011000421,Jeddah,15.00 ,20.00 ,1,50
101011000423,Jeddah,12.00 ,16.00 ,1,50
101011000423,Riyadh,180.00 ,218.00 ,1,50
101011000424,Jeddah,14.00 ,19.00 ,1,50
101011000437,Jeddah,13.00 ,17.00 ,1,50
101011000437,Riyadh,63.00 ,77.00 ,1,50
101011000439,Jeddah,1.00 ,1.00 ,1,50
101011000440,Jeddah,99.00 ,126.00 ,1,50
101011000440,Riyadh,293.00 ,370.00 ,1,50
101011000446,Jeddah,5.00 ,7.00 ,1,50
101011000446,Riyadh,8.00 ,10.00 ,1,50
101011000452,Jeddah,"2,348.00 ","2,931.00 ",1,50
101011000452,Riyadh,"3,635.00 ","4,457.00 ",1,50
101011000454,Jeddah,118.00 ,147.00 ,1,50
101011000454,Riyadh,382.00 ,491.00 ,1,50
101011000461,Jeddah,855.00 ,"1,086.00 ",1,50
101011000461,Riyadh,"2,508.00 ","3,031.00 ",1,50
101011000463,Jeddah,82.00 ,104.00 ,1,50
101011000463,Riyadh,105.00 ,142.00 ,1,50
101011000466,Jeddah,358.00 ,460.00 ,1,50
101011000466,Riyadh,731.00 ,933.00 ,1,50
101011000467,Jeddah,20.00 ,27.00 ,1,50
101011000467,Riyadh,168.00 ,211.00 ,1,50
101011000468,Jeddah,3.00 ,4.00 ,1,50
101011000469,Jeddah,11.00 ,15.00 ,1,50
101011000469,Riyadh,47.00 ,58.00 ,1,50
101011000472,Jeddah,13.00 ,17.00 ,1,50
101011000474,Jeddah,30.00 ,38.00 ,1,50
101011000475,Jeddah,5.00 ,6.00 ,1,50
101011000475,Riyadh,145.00 ,174.00 ,1,50
101011000478,Jeddah,144.00 ,185.00 ,1,50
101011000478,Riyadh,595.00 ,751.00 ,1,50
101011000479,Jeddah,23.00 ,28.00 ,1,50
101011000479,Riyadh,3.00 ,4.00 ,1,50
101011000480,Jeddah,19.00 ,25.00 ,1,50
101011000480,Riyadh,69.00 ,84.00 ,1,50
101011000481,Jeddah,235.00 ,332.00 ,1,50
101011000483,Jeddah,66.00 ,84.00 ,1,50
101011000483,Riyadh,91.00 ,112.00 ,1,50
101011000487,Jeddah,"1,512.00 ","1,881.00 ",1,50
101011000487,Riyadh,"1,894.00 ","2,322.00 ",1,50
101011000488,Jeddah,2.00 ,2.00 ,1,50
101011000490,Jeddah,78.00 ,99.00 ,1,50
101011000490,Riyadh,295.00 ,358.00 ,1,50
101011000491,Jeddah,18.00 ,23.00 ,1,50
101011000491,Riyadh,17.00 ,21.00 ,1,50
101011000492,Jeddah,199.00 ,260.00 ,1,50
101011000492,Riyadh,63.00 ,78.00 ,1,50
101011000498,Jeddah,188.00 ,298.00 ,1,50
101011000498,Riyadh,"1,017.00 ","1,234.00 ",1,50
101011000501,Jeddah,75.00 ,95.00 ,1,50
101011000501,Riyadh,18.00 ,22.00 ,1,50
101011000505,Jeddah,97.00 ,129.00 ,1,50
101011000505,Riyadh,"2,254.00 ","2,870.00 ",1,50
101011000506,Jeddah,34.00 ,48.00 ,1,50
101011000506,Riyadh,20.00 ,26.00 ,1,50
101011000508,Jeddah,1.00 ,1.00 ,1,50
101011000510,Jeddah,93.00 ,122.00 ,1,50
101011000510,Riyadh,136.00 ,180.00 ,1,50
101011000513,Jeddah,17.00 ,21.00 ,1,50
101011000513,Riyadh,271.00 ,328.00 ,1,50
101011000516,Jeddah,760.00 ,956.00 ,1,50
101011000516,Riyadh,896.00 ,"1,087.00 ",1,50
101011000519,Jeddah,3.00 ,3.00 ,1,50
101011000527,Jeddah,204.00 ,259.00 ,1,50
101011000527,Riyadh,273.00 ,332.00 ,1,50
101011000528,Jeddah,1.00 ,1.00 ,1,50
101011000529,Jeddah,2.00 ,3.00 ,1,50
101011000534,Jeddah,87.00 ,119.00 ,1,50
101011000534,Riyadh,93.00 ,113.00 ,1,50
101011000537,Jeddah,52.00 ,67.00 ,1,50
101011000537,Riyadh,135.00 ,164.00 ,1,50
101011000538,Jeddah,19.00 ,26.00 ,1,50
101011000538,Riyadh,254.00 ,299.00 ,1,50
101011000540,Jeddah,88.00 ,114.00 ,1,50
101011000540,Riyadh,337.00 ,405.00 ,1,50
101011000546,Jeddah,33.00 ,47.00 ,1,50
101011000546,Riyadh,63.00 ,84.00 ,1,50
101011000547,Jeddah,245.00 ,325.00 ,1,50
101011000547,Riyadh,511.00 ,653.00 ,1,50
101011000549,Jeddah,292.00 ,399.00 ,1,50
101011000549,Riyadh,758.00 ,924.00 ,1,50
101011000551,Jeddah,740.00 ,943.00 ,1,50
101011000551,Riyadh,"1,831.00 ","2,159.00 ",1,50
101011000552,Jeddah,48.00 ,70.00 ,1,50
101011000552,Riyadh,410.00 ,492.00 ,1,50
101011000554,Jeddah,7.00 ,10.00 ,1,50
101011000554,Riyadh,64.00 ,82.00 ,1,50
101011000555,Jeddah,41.00 ,54.00 ,1,50
101011000555,Riyadh,"1,002.00 ","1,230.00 ",1,50
101011000556,Jeddah,9.00 ,12.00 ,1,50
101011000556,Riyadh,65.00 ,77.00 ,1,50
101011000559,Jeddah,3.00 ,4.00 ,1,50
101011000559,Riyadh,2.00 ,2.00 ,1,50
101011000560,Jeddah,3.00 ,3.00 ,1,50
101011000560,Riyadh,22.00 ,27.00 ,1,50
101011000563,Jeddah,"1,289.00 ","1,674.00 ",1,50
101011000563,Riyadh,"3,729.00 ","4,576.00 ",1,50
101011000564,Jeddah,933.00 ,"1,235.00 ",1,50
101011000564,Riyadh,782.00 ,950.00 ,1,50
101011000565,Jeddah,346.00 ,417.00 ,1,50
101011000565,Riyadh,290.00 ,359.00 ,1,50
101011000570,Jeddah,4.00 ,6.00 ,1,50
101011000570,Riyadh,10.00 ,13.00 ,1,50
101011000573,Jeddah,3.00 ,4.00 ,1,50
101011000573,Riyadh,26.00 ,31.00 ,1,50
101011000575,Jeddah,3.00 ,5.00 ,1,50
101011000577,Jeddah,46.00 ,60.00 ,1,50
101011000579,Jeddah,4.00 ,7.00 ,1,50
101011000581,Jeddah,23.00 ,30.00 ,1,50
101011000582,Jeddah,1.00 ,1.00 ,1,50
101011000584,Jeddah,7.00 ,9.00 ,1,50
101011000584,Riyadh,1.00 ,2.00 ,1,50
101011000587,Jeddah,2.00 ,2.00 ,1,50
101011000589,Jeddah,3.00 ,4.00 ,1,50
101011000590,Jeddah,66.00 ,86.00 ,1,50
101011000591,Jeddah,16.00 ,20.00 ,1,50
101011000591,Riyadh,112.00 ,135.00 ,1,50
101011000593,Jeddah,121.00 ,151.00 ,1,50
101011000593,Riyadh,859.00 ,"1,118.00 ",1,50
101011000596,Jeddah,24.00 ,34.00 ,1,50
101011000596,Riyadh,7.00 ,9.00 ,1,50
101011000597,Jeddah,139.00 ,195.00 ,1,50
101011000597,Riyadh,453.00 ,553.00 ,1,50
101011000600,Jeddah,4.00 ,6.00 ,1,50
101011000604,Jeddah,257.00 ,404.00 ,1,50
